Run Date,AMC,Scheme,XML Status,XLS Status,PDF Status,Overall Result,Failure Details
2026-08-30,360 ONE Mutual Fund,360 ONE Balanced Hybrid Fund,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,360 ONE Mutual Fund,360 ONE Dynamic Term Fund,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,360 ONE Mutual Fund,360 ONE ELSS Tax Saver Nifty 50 Index Fund,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,360 ONE Mutual Fund,360 ONE Flexicap Fund,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,360 ONE Mutual Fund,360 ONE Focused Fund,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,360 ONE Mutual Fund,360 ONE Gold ETF,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,360 ONE Mutual Fund,360 ONE Liquid Fund,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,360 ONE Mutual Fund,360 ONE MSCI India ETF,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,360 ONE Mutual Fund,360 ONE Multi Asset Allocation Fund,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,360 ONE Mutual Fund,360 ONE Overnight Fund,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,360 ONE Mutual Fund,360 ONE QUANT FUND,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,360 ONE Mutual Fund,360 ONE Silver ETF,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,360 ONE Mutual Fund,IIFL CAPITAL ENHANCER FUND- SERIES 1,FAILED,FAILED,FAILED,FAILED,SSD.xml: HTTP 404 | SSD.xls: HTTP 404 | SSD.pdf: HTTP 404
2026-08-30,360 ONE Mutual Fund,IIFL Dividend Opportunities Index Fund,FAILED,FAILED,FAILED,FAILED,SSD.xml: HTTP 404 | SSD.xls: HTTP 404 | SSD.pdf: HTTP 404
2026-08-30,360 ONE Mutual Fund,IIFL FIXED MATURITY PLAN - SERIES 1 (550 DAYS),FAILED,FAILED,FAILED,FAILED,SSD.xml: HTTP 404 | SSD.xls: HTTP 404 | SSD.pdf: HTTP 404
2026-08-30,360 ONE Mutual Fund,IIFL Fixed Maturity Plan - Series 2 (393 Days),FAILED,FAILED,FAILED,FAILED,SSD.xml: HTTP 404 | SSD.xls: HTTP 404 | SSD.pdf: HTTP 404
2026-08-30,360 ONE Mutual Fund,IIFL Fixed Maturity Plan - Series 3 (370 Days),FAILED,FAILED,FAILED,FAILED,SSD.xml: HTTP 404 | SSD.xls: HTTP 404 | SSD.pdf: HTTP 404
2026-08-30,360 ONE Mutual Fund,IIFL Fixed Maturity Plan - Series 6 (854 Days),FAILED,FAILED,FAILED,FAILED,SSD.xml: HTTP 404 | SSD.xls: HTTP 404 | SSD.pdf: HTTP 404
2026-08-30,360 ONE Mutual Fund,IIFL Fixed Maturity Plan Series 11,FAILED,FAILED,FAILED,FAILED,SSD.xml: HTTP 404 | SSD.xls: HTTP 404 | SSD.pdf: HTTP 404
2026-08-30,360 ONE Mutual Fund,IIFL Fixed Maturity Plan Series 8 (1068 Days),FAILED,FAILED,FAILED,FAILED,SSD.xml: HTTP 404 | SSD.xls: HTTP 404 | SSD.pdf: HTTP 404
2026-08-30,360 ONE Mutual Fund,IIFL NIFTY ETF,FAILED,FAILED,FAILED,FAILED,SSD.xml: HTTP 404 | SSD.xls: HTTP 404 | SSD.pdf: HTTP 404
2026-08-30,360 ONE Mutual Fund,IIFL Short Term Income Fund (An Open Ended Income Scheme),FAILED,FAILED,FAILED,FAILED,SSD.xml: HTTP 404 | SSD.xls: HTTP 404 | SSD.pdf: HTTP 404
2026-08-30,Abakkus Mutual Fund,Abakkus Flexi Cap Fund,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,Abakkus Mutual Fund,Abakkus Large & Mid Cap Fund,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,Abakkus Mutual Fund,Abakkus Liquid Fund,FAILED,DOWNLOADED,DOWNLOADED,PARTIAL,"SSD.xml: Invalid XML: not well-formed (invalid token): line 4, column 967"
2026-08-30,Abakkus Mutual Fund,Abakkus Small Cap Fund,DOWNLOADED,DOWNLOADED,DOWNLOADED,SUCCESS,
2026-08-30,Aditya Birla Sun Life Mutual Fund,Aditya Birla Fixed Maturity Plan - 1 Year Plan Group 14,FAILED,FAILED,FAILED,FAILED,SSD.xml: HTTP 404 | SSD.xls: HTTP 404 | SSD.pdf: HTTP 404
